person1_word_idx,person2_word_idx,sentence,person1_right_tokens,person2_right_tokens,text_between,person1_left_tokens,person2_left_tokens,person1_right_first_tokens,person2_right_first_tokens,person1_right_second_tokens,person2_right_second_tokens,person1_right_third_tokens,person2_right_third_tokens,person1_left_first_tokens,person2_left_first_tokens,person1_left_second_tokens,person2_left_second_tokens,person1_left_third_tokens,person2_left_third_tokens,tokens
"(20, 22)","(11, 11)","The highest solvus temperature of the new designed quaternary superalloy is 1135°C , while the highest solvus temperature of the reported Co Al W-X quaternary superalloy is 1120°C [ 34 ] . ","['quaternary', 'superalloy', 'is', '1120°C', '34', '.']","['quaternary', 'superalloy', 'is', '1120°C', '34', '.']","['while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported']","['superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the']","['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy']",['quaternary'],['while'],['superalloy'],['the'],['is'],['highest'],['reported'],['is'],['the'],['superalloy'],['reported'],['quaternary'],"['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy', 'is', '1120°C', '34', '.']"
"(20, 22)","(26, 26)","The highest solvus temperature of the new designed quaternary superalloy is 1135°C , while the highest solvus temperature of the reported Co Al W-X quaternary superalloy is 1120°C [ 34 ] . ","['quaternary', 'superalloy', 'is', '1120°C', '34', '.']","['quaternary', 'superalloy', 'is', '1120°C', '34', '.']","['quaternary', 'superalloy', 'is']","['superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the']","['solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy']",['quaternary'],['34'],['superalloy'],['.'],['is'],['.'],['reported'],['is'],['the'],['superalloy'],['reported'],['quaternary'],"['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy', 'is', '1120°C', '34', '.']"
"(14, 14)","(19, 19)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C']","['using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1']","['γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C']",['Alloy3'],['1280°C'],['are'],['respectively'],['1271°C'],['.'],['Alloy2'],['1264°C'],['Alloy1'],['1271°C'],['of'],['are'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(14, 14)","(20, 20)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C', 'and']","['using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1']","['solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C']",['Alloy3'],['respectively'],['are'],['.'],['1271°C'],['.'],['Alloy2'],['and'],['Alloy1'],['1264°C'],['of'],['1271°C'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(14, 14)","(22, 22)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively']","['using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1']","['of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C']",['Alloy3'],[],['are'],[],['1271°C'],[],['Alloy2'],['respectively'],['Alloy1'],['1280°C'],['of'],['and'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(15, 15)","(19, 19)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C']","['Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2']","['γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C']",['are'],['1280°C'],['1271°C'],['respectively'],['1264°C'],['.'],['and'],['1264°C'],['Alloy2'],['1271°C'],['Alloy1'],['are'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(15, 15)","(20, 20)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C', 'and']","['Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2']","['solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C']",['are'],['respectively'],['1271°C'],['.'],['1264°C'],['.'],['and'],['and'],['Alloy2'],['1264°C'],['Alloy1'],['1271°C'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(15, 15)","(22, 22)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']","['are', '1271°C', '1264°C', 'and', '1280°C', 'respectively']","['Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2']","['of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C']",['are'],[],['1271°C'],[],['1264°C'],[],['and'],['respectively'],['Alloy2'],['1280°C'],['Alloy1'],['and'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(17, 17)","(19, 19)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['1264°C', 'and', '1280°C', 'respectively', '.']","['1264°C', 'and', '1280°C', 'respectively', '.']",['1264°C'],"['35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3']","['γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C']",['1264°C'],['1280°C'],['and'],['respectively'],['1280°C'],['.'],['are'],['1264°C'],['Alloy3'],['1271°C'],['and'],['are'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(17, 17)","(20, 20)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['1264°C', 'and', '1280°C', 'respectively', '.']","['1264°C', 'and', '1280°C', 'respectively', '.']","['1264°C', 'and']","['35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3']","['solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C']",['1264°C'],['respectively'],['and'],['.'],['1280°C'],['.'],['are'],['and'],['Alloy3'],['1264°C'],['and'],['1271°C'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(17, 17)","(22, 22)","By thermodynamic calculation using Pandat software [ 35 ] , the γ′ solvus temperatures of Alloy1 , Alloy2 and Alloy3 are 1271°C , 1264°C and 1280°C , respectively . ","['1264°C', 'and', '1280°C', 'respectively', '.']","['1264°C', 'and', '1280°C', 'respectively', '.']","['1264°C', 'and', '1280°C', 'respectively']","['35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3']","['of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C']",['1264°C'],[],['and'],[],['1280°C'],[],['are'],['respectively'],['Alloy3'],['1280°C'],['and'],['and'],"['By', 'thermodynamic', 'calculation', 'using', 'Pandat', 'software', '35', 'the', 'γ′', 'solvus', 'temperatures', 'of', 'Alloy1', 'Alloy2', 'and', 'Alloy3', 'are', '1271°C', '1264°C', 'and', '1280°C', 'respectively', '.']"
"(11, 11)","(13, 13)",It is noteworthy that the solvus temperature obtained in the base alloy ( ∼949°C ) is comparable to those of Co-9Al-7.5 W ( ∼990°C ) [ 4 ] and Co-5Al-14 V ( ∼964°C ) [ 36 ] ternary alloys . ,"['(', '∼949°C', ')', 'is', 'comparable', 'to', 'those', 'of', 'Co-9Al-7.5', 'W']","['(', '∼949°C', ')', 'is', 'comparable', 'to', 'those', 'of', 'Co-9Al-7.5', 'W']",['('],"['It', 'is', 'noteworthy', 'that', 'the', 'solvus', 'temperature', 'obtained', 'in', 'the']","['noteworthy', 'that', 'the', 'solvus', 'temperature', 'obtained', 'in', 'the', 'base', 'alloy']",['('],[')'],['∼949°C'],['is'],[')'],['comparable'],['base'],['('],['the'],['alloy'],['in'],['base'],"['It', 'is', 'noteworthy', 'that', 'the', 'solvus', 'temperature', 'obtained', 'in', 'the', 'base', 'alloy', '(', '∼949°C', ')', 'is', 'comparable', 'to', 'those', 'of', 'Co-9Al-7.5', 'W', '(', '∼990°C', ')', '4', 'and', 'Co-5Al-14', 'V', '(', '∼964°C', ')', '36', 'ternary', 'alloys', '.']"
